"conhost.exe","35604", "1", "2020-10-28T00:10:11", "", 
"git.exe","30640", "1", "2020-10-28T00:10:11", "", 
"runnerw64.exe","20364", "1", "2020-10-28T00:10:11", "", 
"conhost.exe","17988", "1", "2020-10-28T00:10:11", "", 
"conhost.exe","22224", "0", "2020-10-28T00:10:11", "", 
"git.exe","17572", "0", "2020-10-28T00:10:11", "", 
"git.exe","3204", "0", "2020-10-28T00:10:11", "", 
"git.exe","3204", "1", "2020-10-28T00:10:12", "", 
"git.exe","17572", "1", "2020-10-28T00:10:12", "", 
"runnerw64.exe","20736", "1", "2020-10-28T00:10:12", "", 
"conhost.exe","22224", "1", "2020-10-28T00:10:13", "", 
"cmd.exe","35036", "0", "2020-10-28T00:10:19", "", 
"cmd.exe","35036", "1", "2020-10-28T00:10:19", "", 
"conhost.exe","16520", "0", "2020-10-28T00:10:19", "", 
"chrome.exe","17564", "0", "2020-10-28T00:10:19", "", 
"conhost.exe","16520", "1", "2020-10-28T00:10:19", "", 
"chrome.exe","17564", "1", "2020-10-28T00:10:19", "", 
"chrome.exe","26760", "0", "2020-10-28T00:10:19", "", 
"chrome.exe","31896", "0", "2020-10-28T00:10:19", "", 
"chrome.exe","26760", "1", "2020-10-28T00:10:20", "", 
"runnerw64.exe","30292", "0", "2020-10-28T00:10:20", "", 
"conhost.exe","20588", "0", "2020-10-28T00:10:20", "", 
"git.exe","29972", "0", "2020-10-28T00:10:20", "", 
"git.exe","28920", "0", "2020-10-28T00:10:22", "", 
"git.exe","28920", "1", "2020-10-28T00:10:22", "", 
"git.exe","29972", "1", "2020-10-28T00:10:22", "", 
"runnerw64.exe","30292", "1", "2020-10-28T00:10:22", "", 
"conhost.exe","20588", "1", "2020-10-28T00:10:22", "", 
"runnerw64.exe","13992", "0", "2020-10-28T00:10:43", "", 
"conhost.exe","22676", "0", "2020-10-28T00:10:43", "", 
"git.exe","29872", "0", "2020-10-28T00:10:44", "", 
"git.exe","27180", "0", "2020-10-28T00:10:44", "", 
"git.exe","27180", "1", "2020-10-28T00:10:45", "", 
"git.exe","29872", "1", "2020-10-28T00:10:45", "", 
"runnerw64.exe","13992", "1", "2020-10-28T00:10:45", "", 
"conhost.exe","22676", "1", "2020-10-28T00:10:45", "", 
"cmd.exe","13132", "0", "2020-10-28T00:13:10", "", 
"cmd.exe","13132", "1", "2020-10-28T00:13:10", "", 
"conhost.exe","20512", "0", "2020-10-28T00:13:10", "", 
"chrome.exe","31108", "0", "2020-10-28T00:13:10", "", 
"conhost.exe","20512", "1", "2020-10-28T00:13:10", "", 
"chrome.exe","31108", "1", "2020-10-28T00:13:10", "", 
"chrome.exe","10188", "0", "2020-10-28T00:13:10", "", 
"chrome.exe","26584", "0", "2020-10-28T00:13:10", "", 
"chrome.exe","10188", "1", "2020-10-28T00:13:11", "", 
"runnerw64.exe","20012", "0", "2020-10-28T00:13:11", "", 
"conhost.exe","30860", "0", "2020-10-28T00:13:11", "", 
"git.exe","32240", "0", "2020-10-28T00:13:11", "", 
"git.exe","34484", "0", "2020-10-28T00:13:11", "", 
"git.exe","32240", "1", "2020-10-28T00:13:11", "", 
"runnerw64.exe","20012", "1", "2020-10-28T00:13:11", "", 
"conhost.exe","30860", "1", "2020-10-28T00:13:11", "", 
"git.exe","34484", "1", "2020-10-28T00:13:12", "", 
"runnerw64.exe","22812", "0", "2020-10-28T00:14:21", "", 
